,shortName,address,city,vipZone,ramp,person,Prime,latitude,longitude
152,ОО «Лысьвенский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Лысьва, ул. Федосеева, д. 33",Лысьва,False,True,True,False,58.101882,57.807927
153,ДО «Кузнецкий мост» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Рождественка, д. 8/15, стр. 3",Москва,False,True,True,False,55.762399,37.62395
154,ДО Кредитный центр «Зубовский бульвар» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Зубовский бульвар, д. 27/26, стр. 1",Москва,True,True,True,False,55.7366,37.588099
155,ДО «Ленинградский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинградский пр-т, д. 65, стр. 1",Москва,True,True,True,False,55.802912,37.518892
156,ОО «Первомайский» Филиала № 7806 Банка ВТБ (ПАО),"Мурманская область, г. Мурманск, пр-т Кольский, д. 22",Мурманск,True,True,True,False,68.945796,33.09981
157,ДО «Полянка» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Большая Полянка, д. 30",Москва,True,True,True,False,55.734202,37.618866
158,"ДО № 20 «Большой проспект Петроградской стороны, 32» Филиала № 7806 Банка ВТБ (ПАО)","г. Санкт-Петербург, ул. Ропшинская, д. 1/32, лит. А, пом 2Н",Санкт-Петербург,False,True,True,False,59.957665,30.298055
159,ДО ЦИК «Пушечный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кузнецкий мост, д. 16/5, стр. 1",Москва,False,True,True,False,55.761598,37.622082
160,ДО «Северо-Западный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Свободы, д. 13/2, стр. 1А",Москва,True,False,True,False,55.829264,37.451312
161,ОО «Арзамасский» Филиала № 6318 Банка ВТБ (ПАО),"Нижегородская область, г. Арзамас, Комсомольский бульвар, д. 17/4",Арзамас,True,True,True,False,55.407699,43.836052
162,ДО «Бродников» Филиала № 7777 Банка ВТБ (ПАО),"г. Москва, Бродников пер., д. 4",Москва,False,False,True,True,55.737446,37.617959
163,ДО «Планерный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Планерная, д. 7, корп. 1",Москва,False,True,True,False,55.863358,37.433508
164,ДО «Центральный» в г. Москве Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кузнецкий Мост, д. 17, стр. 1",Москва,False,True,True,False,55.762272,37.624822
165,ДО Кредитный центр «Марксистский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Марксистская, д.5, стр.1",Москва,True,True,True,False,55.737182,37.663952
166,ДО «Ломоносовский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 69",Москва,True,False,True,False,55.690374,37.550657
167,ОО «Кисловодский» Филиала № 2351 Банка ВТБ (ПАО),"Ставропольский край, г. Кисловодск, пр-т Первомайский, д. 31",Кисловодск,True,True,True,False,43.906187,42.715368
168,ДО «Земляной вал» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Земляной Вал, д. 52/16, стр. 1",Москва,True,True,True,False,55.748949,37.655131
169,ДО «Крестовский» Филиала в г. Москве,"г. Москва, пр-т Мира, д. 81",Москва,False,False,False,False,55.801318,37.634335
170,ДО «Новый Арбат» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Б. Молчановка, д. 17",Москва,False,False,True,False,55.753002,37.59259
171,ОО «Волховский» Филиала № 7806 Банка ВТБ (ПАО),"Ленинградская область, г. Волхов, пл. Привокзальная, д. 1",Волхов,False,True,True,False,59.921425,32.300166
172,ДО «Вернадский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, пр-т Вернадского, 29",Москва,True,True,True,False,55.681712,37.516449
173,ДО «Камышловский» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Камышлов, ул. Карла Маркса, д. 52",Камышлов,False,False,True,False,56.842571,62.707554
174,ДО «Бибирево» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Пришвина, д. 23",Москва,True,True,True,False,55.885499,37.604682
175,ДО «На Лавочкина» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Лавочкина, д. 34",Москва,False,True,True,False,55.856341,37.493847
176,ДО «Люблино центр» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Совхозная, д. 41",Москва,True,True,True,False,55.674575,37.760234
177,ДО «Обручевский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 111, корп. 1",Москва,False,True,True,False,55.661333,37.509352
178,ДО «Мосфильмовский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Мосфильмовская, д. 70",Москва,False,False,True,False,55.71518,37.506612
179,"ДО № 23 «Московский, 220» Филиала № 7806 Банка ВТБ (ПАО)","г. Санкт-Петербург, Московский пр., д. 220, лит. А, часть пом. 6-Н",Санкт-Петербург,True,True,True,False,59.847982,30.322417
180,ДО «Митино» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Митинская, д. 36, корп. 2",Москва,True,True,True,False,55.847078,37.362154
181,"ДО № 28 «Славы, 40» Филиала № 7806 Банка ВТБ (ПАО)","г. Санкт-Петербург, пр. Славы, д. 40, корп. 1, лит. А, нежил. пом. 61-Н",Санкт-Петербург,True,True,True,False,59.861381,30.398845
182,ДО «Крылатское» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Осенний бульвар, д. 7, кор. 1",Москва,True,True,True,False,55.757794,37.406944
183,"ДО № 64 «Ушаковская,3» Филиала № 7806 Банка ВТБ (ПАО)","г. Санкт-Петербург, Ушаковская наб., д. 3, корп. 1А, лит. А, пом. 21-Н",Санкт-Петербург,False,True,True,False,59.981798,30.314646
184,ДО «Кантемировский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кантемировская, д. 47",Москва,True,False,True,False,55.637799,37.656182
185,ДО «Щука» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Щукинская, д. 42",Москва,False,False,True,False,55.809474,37.464571
186,ДО «Белорусский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, 4-й Лесной пер., д. 4",Москва,True,False,True,False,55.779069,37.586931
